hessSRR094166,hessSRR094403,hessSRR094405,hessSRR094415,hessSRR094416,hessSRR094417,hessSRR094418,hessSRR094419,hessSRR094424,hessSRR094427,hessSRR094428,shiSRR1222429,shiSRR1222431,shiSRR1267595,shiSRR873450,shiSRR873451,shiSRR873452,shiSRR873453,shiSRR873454,shiSRR873455,shiSRR873456,shiSRR873457,shiSRR873458,shiSRR873459,shiSRR873460,shiSRR873461,shiSRR873462,shiSRR873463,shiSRR873464,shiSRR873465,shiSRR873595,shiSRR873596,shiSRR873597,shiSRR873598,shiSRR873599,shiSRR873600,shiSRR873601,shiSRR873602,shiSRR873603,shiSRR873604,shiSRR873605,shiSRR873606,shiSRR873607,shiSRR873608,shiSRR873609,shiSRR873610,stewartERR2027889,stewartERR2027890,stewartERR2027891,stewartERR2027892,stewartERR2027893,stewartERR2027894,stewartERR2027895,stewartERR2027896,stewartERR2027897,stewartERR2027898,stewartERR2027899,stewartERR2027900,stewartERR2027901,stewartERR2027902,stewartERR2027903,stewartERR2027904,stewartERR2027905,stewartERR2027906,stewartERR2027907,stewartERR2027908,stewartERR2027909,stewartERR2027910,stewartERR2027911,stewartERR2027912,stewartERR2027913,stewartERR2027914,stewartERR2027915,stewartERR2027916,stewartERR2027917,stewartERR2027918,stewartERR2027919,stewartERR2027920,stewartERR2027921,stewartERR2027922,stewartERR2027923,stewartERR2027924,stewartERR2027925,stewartERR2027926,stewartERR2027927,stewartERR2027928,stewartERR2027929,stewartERR2027930,wallaceERR2027889,wallaceERR2027890,wallaceERR2282092,wallaceERR2530126,wallaceERR2530127,wallaceERR983262,wallaceERR983263,wallaceERR983264,wallaceERR983265,wallaceERR983266,wallaceERR983267,wallaceERR983268,wallaceERR983269
gene:plasmid:125193,0,7.0,4.0,9.0,0,0,5.0,0,75.0,0,68.0,0,188.0,40.0,0,0,0,20.0,0,42.0,0,0,28.0,0,0,0,58.0,0,0,0,207.0,139.0,420.0,89.0,104.0,255.0,106.0,94.0,49.0,143.0,119.0,111.0,173.0,159.0,129.0,174.0,35.0,37.0,23.0,47.0,32.0,56.0,27.0,105.0,43.0,32.0,39.0,69.0,33.0,32.0,21.0,21.0,63.0,45.0,70.0,45.0,22.0,47.0,50.0,69.0,43.0,44.0,52.0,79.0,36.0,30.0,54.0,54.0,77.0,48.0,34.0,37.0,29.0,61.0,44.0,39.0,39.0,44.0,35.0,21.0,48.0,0,12.0,56.0,66.0,73.0,43.0,21.0,32.0,46.0,32.0
gene:proph:179581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110.0,0,0,56.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene:plasmid:151531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,756.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene:plasmid:156719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene:plasmid:122212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,512.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene:proph:159060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene:proph:177782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene:plasmid:21848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,344.0,0,0,0,0,0,0,0,0,0,0
gene:plasmid:131218,52.0,44.0,0,0,30.0,55.0,28.0,0,0,0,58.0,14.0,1037.0,1183.0,65.0,0,0,0,0,0,51.0,0,40.0,0,0,22.0,0,0,25.0,0,2238.0,1528.0,1832.0,1331.0,1420.0,1757.0,1068.0,1346.0,168.0,1598.0,1271.0,1108.0,1248.0,856.0,1178.0,882.0,37.0,53.0,0,59.0,50.0,60.0,47.0,116.0,60.0,82.0,40.0,79.0,63.0,53.0,53.0,48.0,69.0,35.0,37.0,144.0,127.0,42.0,59.0,62.0,52.0,93.0,65.0,80.0,44.0,0,47.0,94.0,54.0,55.0,0,86.0,86.0,64.0,80.0,0,39.0,61.0,37.0,39.0,774.0,2208.0,0,11.0,0,0,0,0,43.0,43.0,27.0
gene:proph:180856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,434.0,0,0,266.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
