"group","hessSRR094424","shiSRR873453","stewartERR2027897","stewartERR2027900","stewartERR2027917","hessSRR094417","stewartERR2027930","wallaceERR983267","shiSRR873460","shiSRR873452","stewartERR2027891","wallaceERR983263","shiSRR873606","stewartERR2027921","stewartERR2027890","stewartERR2027903","stewartERR2027904","wallaceERR2027890","shiSRR873603","stewartERR2027895","hessSRR094427","wallaceERR2282092","stewartERR2027928","shiSRR873601","hessSRR094416","wallaceERR983268","stewartERR2027914","stewartERR2027905","wallaceERR983265","shiSRR873461","shiSRR873450","stewartERR2027924","shiSRR873457","stewartERR2027919","stewartERR2027925","stewartERR2027910","shiSRR1267595","stewartERR2027927","shiSRR873463","stewartERR2027894","stewartERR2027899","stewartERR2027920","wallaceERR983264","shiSRR873455","wallaceERR2530126","stewartERR2027915","shiSRR873458","stewartERR2027916","stewartERR2027907","shiSRR873456","stewartERR2027901","hessSRR094403","stewartERR2027913","hessSRR094418","shiSRR873598","shiSRR873465","shiSRR873607","shiSRR873600","hessSRR094428","wallaceERR983269","shiSRR873602","stewartERR2027926","stewartERR2027923","shiSRR873464","shiSRR873608","stewartERR2027908","stewartERR2027893","shiSRR1222431","hessSRR094166","stewartERR2027898","stewartERR2027902","shiSRR873605","stewartERR2027909","stewartERR2027929","shiSRR873454","wallaceERR2530127","wallaceERR983266","shiSRR873595","shiSRR873610","hessSRR094405","wallaceERR983262","wallaceERR2027889","stewartERR2027892","stewartERR2027912","stewartERR2027906","shiSRR873451","hessSRR094419","shiSRR873609","shiSRR873596","stewartERR2027896","stewartERR2027922","stewartERR2027918","stewartERR2027889","shiSRR873462","shiSRR873459","shiSRR873599","stewartERR2027911","hessSRR094415","shiSRR873604","shiSRR873597"
"ERMB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0
"ERMF",0,0,10,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,50,29,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERMG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GADE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GADX",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HDEA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LNUC",2934,0,31,524,51,68,84,55,0,0,12,106,0,49,31,118,1044,9,0,92,787,178,162,0,73,49,31,493,211,0,115,58,0,70,105,53,0,71,0,479,182,28,1722,195,0,289,0,84,930,0,213,58,73,65,0,0,0,1220,2575,32,0,25,76,0,0,119,32,0,53,135,39,0,34,66,0,109,26,1465,0,58,670,68,168,50,706,0,864,0,126,41,32,53,68,0,0,0,22,97,0,0
"MEFA",19473,0,144,375,96,360,107,86,0,0,89,608,0,232,96,219,253,58,0,212,2302,70,103,0,379,181,234,286,1608,0,0,103,0,161,124,207,0,133,0,738,373,150,341,0,0,124,0,196,533,0,528,406,77,422,0,0,0,0,13731,110,0,178,254,0,0,1297,216,0,367,826,131,0,107,202,0,0,131,0,0,402,535,212,483,120,390,0,2926,0,0,288,135,72,212,0,0,0,146,438,0,0
"MEFB",978,0,23,0,0,70,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,52,0,35,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,24,0,0,0,0,0,83,23,54,0,0,0,0,844,0,0,58,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,80,0,42,0,28,0,0,0,0,0,0,85,0,42,0,0,0,30,77,0,0
"MERA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MERD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MERE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MERP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MERR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MERT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACI",52,0,45,0,36,0,68,28,0,0,11,0,0,38,52,90,41,25,0,0,0,77,49,0,0,174,101,21,11,0,0,91,0,53,82,62,0,76,0,0,0,0,0,0,0,0,0,47,0,0,35,0,48,0,0,0,0,1080,52,0,0,90,61,0,0,78,102,0,0,0,69,0,66,15,0,0,60,1036,0,0,0,24,0,85,42,0,0,0,0,36,42,78,24,0,0,0,0,0,0,0
"ACRC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NCCA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NCCB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NCCC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NCCH",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NCCN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
