"Family","stewartERR2027890","shiSRR873458","shiSRR873455","stewartERR2027917","shiSRR873463","wallaceERR983265","shiSRR873599","wallaceERR983268","stewartERR2027895","hessSRR094166","stewartERR2027928","stewartERR2027923","shiSRR873457","hessSRR094424","shiSRR873597","shiSRR873452","hessSRR094418","shiSRR873460","stewartERR2027903","stewartERR2027908","shiSRR873602","shiSRR873596","stewartERR2027927","stewartERR2027929","stewartERR2027912","wallaceERR983264","shiSRR873459","shiSRR873606","shiSRR873604","stewartERR2027909","stewartERR2027920","shiSRR873454","shiSRR873462","stewartERR2027889","stewartERR2027916","shiSRR873464","stewartERR2027891","shiSRR873595","stewartERR2027900","hessSRR094416","shiSRR873609","wallaceERR983263","hessSRR094415","stewartERR2027925","shiSRR1222431","stewartERR2027898","stewartERR2027918","shiSRR873456","hessSRR094419","hessSRR094403","shiSRR873598","shiSRR873605","stewartERR2027926","hessSRR094417","stewartERR2027915","stewartERR2027897","shiSRR873607","stewartERR2027924","stewartERR2027902","wallaceERR2027890","shiSRR1222429","wallaceERR2530126","wallaceERR2027889","stewartERR2027899","shiSRR1267595","stewartERR2027919","shiSRR873608","shiSRR873451","hessSRR094428","shiSRR873601","stewartERR2027910","stewartERR2027907","hessSRR094427","shiSRR873610","wallaceERR983269","stewartERR2027921","hessSRR094405","wallaceERR983266","shiSRR873465","stewartERR2027913","wallaceERR983262","stewartERR2027905","shiSRR873461","stewartERR2027911","shiSRR873453","stewartERR2027914","stewartERR2027901","wallaceERR983267","stewartERR2027893","stewartERR2027892","shiSRR873603","stewartERR2027904","stewartERR2027896","stewartERR2027894","wallaceERR2530127","stewartERR2027906","wallaceERR2282092","stewartERR2027930","stewartERR2027922","shiSRR873600","shiSRR873450"
"Ampullaviridae",5,0,0,3,0,1,0,0,0,1,3,2,0,3,1,0,0,0,0,2,12,1,2,2,1,0,0,2,3,0,2,0,0,2,7,0,7,0,0,2,3,3,0,5,0,0,2,0,0,1,0,1,0,0,3,19,2,1,0,4,0,0,2,1,2,1,0,0,1,0,0,0,0,2,1,1,0,0,0,7,1,0,0,5,0,0,2,0,0,0,2,0,0,0,0,0,0,4,3,1,0
"Bicaudaviridae",6,0,0,9,0,20,8,8,1,1,18,2,0,19,8,0,1,1,2,5,13,10,6,2,16,1,0,32,38,2,6,0,2,7,4,1,32,6,12,2,5,3,1,6,18,7,5,0,1,0,10,16,3,1,2,8,17,3,5,1,0,0,7,1,14,3,6,0,21,12,3,0,2,37,1,5,0,5,0,7,11,0,0,6,0,6,1,6,5,5,6,0,18,6,1,0,0,18,9,49,1
"Corticoviridae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fuselloviridae",2,0,0,0,0,1,9,3,3,1,7,4,0,21,5,0,4,0,1,2,4,15,3,6,1,8,0,15,3,2,4,0,0,2,3,0,7,6,0,0,37,1,2,1,7,8,2,0,1,0,14,24,0,3,2,5,19,4,5,0,0,0,2,9,40,2,34,0,24,3,4,0,0,37,2,4,1,0,0,5,2,0,0,2,0,1,2,5,2,0,8,1,5,1,0,0,0,1,1,47,0
"Globuloviridae",2,0,0,5,0,0,0,1,0,0,8,2,0,0,10,0,0,0,2,3,1,17,2,4,4,0,0,11,15,0,1,0,1,19,7,0,1,8,0,0,0,0,0,0,6,116,3,0,0,0,6,3,0,0,7,10,3,4,2,0,0,0,19,0,1,3,1,0,1,0,6,0,0,2,2,0,0,0,0,12,0,0,1,0,0,1,0,3,9,1,1,0,74,0,0,0,0,3,3,20,0
"Lavidaviridae",46,0,0,21,0,14,2,3,43,0,44,6,0,1,55,0,0,1,4,6,7,11,7,7,19,0,0,16,8,2,24,0,0,54,9,0,39,19,1,1,7,0,0,18,21,14,18,0,0,0,7,8,5,0,15,62,15,7,16,26,0,1,54,1,8,3,38,0,1,2,11,0,0,34,9,10,0,0,0,10,2,1,1,15,0,2,32,10,10,3,3,0,20,0,0,1,3,11,11,53,0
"Lipothrixviridae",24,0,10,13,1,1,43,15,6,0,15,4,1,3,65,0,0,2,2,5,30,15,29,46,8,0,2,13,27,2,4,0,2,13,12,2,18,8,8,0,8,0,0,11,9,36,6,1,0,0,8,14,4,0,8,34,12,11,7,17,0,2,13,0,39,1,31,2,10,25,14,0,0,12,2,9,0,2,1,18,0,7,2,4,9,7,3,6,14,0,8,3,16,3,2,1,3,23,13,43,0
"Plasmaviridae",8,0,3,1,0,0,0,0,1,0,1,1,0,0,7,0,0,0,0,1,0,9,3,0,0,0,0,3,0,0,2,0,0,2,3,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,15,3,0,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,28,0
"Portogloboviridae",0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,8,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,10,0
"Rudiviridae",70,0,0,22,2,61,32,18,68,3,55,52,0,18,153,1,0,1,12,40,66,66,33,27,36,1,4,51,72,9,61,1,5,104,39,1,75,55,29,2,68,2,1,39,50,718,24,0,1,2,64,55,16,1,34,157,57,15,13,38,0,0,104,3,52,34,68,0,20,26,28,8,1,79,7,40,1,5,1,31,10,3,2,35,0,30,27,16,26,27,13,13,92,12,7,1,5,82,16,104,0
