"Class","stewartERR2027890","shiSRR873458","shiSRR873455","stewartERR2027917","shiSRR873463","wallaceERR983265","shiSRR873599","wallaceERR983268","stewartERR2027895","hessSRR094166","stewartERR2027928","stewartERR2027923","shiSRR873457","hessSRR094424","shiSRR873597","shiSRR873452","hessSRR094418","shiSRR873460","stewartERR2027903","stewartERR2027908","shiSRR873602","shiSRR873596","stewartERR2027927","stewartERR2027929","stewartERR2027912","wallaceERR983264","shiSRR873459","shiSRR873606","shiSRR873604","stewartERR2027909","stewartERR2027920","shiSRR873454","shiSRR873462","stewartERR2027889","stewartERR2027916","shiSRR873464","stewartERR2027891","shiSRR873595","stewartERR2027900","hessSRR094416","shiSRR873609","wallaceERR983263","hessSRR094415","stewartERR2027925","shiSRR1222431","stewartERR2027898","stewartERR2027918","shiSRR873456","hessSRR094419","hessSRR094403","shiSRR873598","shiSRR873605","stewartERR2027926","hessSRR094417","stewartERR2027915","stewartERR2027897","shiSRR873607","stewartERR2027924","stewartERR2027902","wallaceERR2027890","shiSRR1222429","wallaceERR2530126","wallaceERR2027889","stewartERR2027899","shiSRR1267595","stewartERR2027919","shiSRR873608","shiSRR873451","hessSRR094428","shiSRR873601","stewartERR2027910","stewartERR2027907","hessSRR094427","shiSRR873610","wallaceERR983269","stewartERR2027921","hessSRR094405","wallaceERR983266","shiSRR873465","stewartERR2027913","wallaceERR983262","stewartERR2027905","shiSRR873461","stewartERR2027911","shiSRR873453","stewartERR2027914","stewartERR2027901","wallaceERR983267","stewartERR2027893","stewartERR2027892","shiSRR873603","stewartERR2027904","stewartERR2027896","stewartERR2027894","wallaceERR2530127","stewartERR2027906","wallaceERR2282092","stewartERR2027930","stewartERR2027922","shiSRR873600","shiSRR873450"
"Acidithiobacillia",1633,519,296,1530,269,698,6323,2108,1711,355,1844,1740,378,3346,6207,328,359,448,1332,1886,5869,5027,2094,1688,2169,3255,417,5154,7885,1685,1984,248,309,1860,2402,328,1200,6044,1636,368,6273,1698,407,1297,5857,1828,1249,296,203,381,4938,5679,1417,420,1620,1833,5624,1910,1983,749,42,1982,1860,2376,3546,1996,5634,236,3452,6363,1910,1844,177,4750,1311,2064,364,1152,423,1931,1016,3833,397,1666,552,2303,2791,1482,1481,4112,1238,3885,2388,4588,1412,2520,4124,1797,1826,8446,251
"Alphaproteobacteria",284632,89998,39122,303770,56679,129848,768459,286730,258121,71254,342054,291795,70623,567450,972886,51777,70206,84753,232979,355972,711354,712615,406612,327247,405881,339514,60344,753184,922877,270429,402656,49919,58880,333744,422169,67491,247920,795296,298358,70701,1046617,246609,75600,266015,1125979,284344,257734,44745,30632,69584,641720,904831,298291,74122,312280,361909,867609,362212,363535,133306,5274,223579,333744,344786,545514,392417,932389,50977,606830,893026,298895,255359,33984,777698,227695,396103,70588,130252,83241,336377,149687,343051,77274,313693,95226,414366,277377,245756,262414,372192,223584,362122,501590,386827,195535,318929,720351,272330,339461,880234,37952
"Betaproteobacteria",225142,58010,27906,230968,33957,88479,561226,208656,206971,52716,288364,216222,47006,419657,694637,37468,51778,52203,186954,272156,542019,547611,329781,238345,301548,281516,38764,589217,700089,207328,300811,30699,35197,245203,314800,47812,202227,606586,228573,52559,802047,180454,55736,199071,862773,212264,197118,32270,23798,51693,481406,678194,225057,54846,225160,267244,637347,278096,276824,105179,4166,184276,245203,280987,416047,302006,678858,30588,473656,697185,225770,191282,32770,581982,163973,292786,52310,101219,53864,255452,115307,303898,50746,232993,63334,317610,223321,179302,213711,316869,167226,289219,380528,323537,178385,257544,664341,206686,254675,658976,24323
"Deltaproteobacteria",118641,48094,19623,128284,31127,46452,325292,123901,105824,33824,147487,117337,35962,271152,365933,28778,32956,42818,97185,152142,284473,298125,177894,135095,173096,144723,30023,334493,394241,109413,171147,25666,29672,137392,178842,35603,102668,328674,123798,32986,473217,109059,35709,112206,499151,111934,110971,23053,15583,32493,265491,402498,129084,34915,127831,147310,380773,154930,153318,55359,2149,80751,137392,130170,216501,165835,413786,25243,295434,370806,125596,98641,17239,327037,97982,165441,33009,55374,39786,142261,55906,140451,39089,131003,48778,178385,110324,106317,113429,157360,97919,138439,216706,156495,75579,126186,266804,112370,144258,360517,16310
"Epsilonproteobacteria",60762,6554,4518,34494,3617,68449,99120,27734,48036,2449,51768,33194,3071,41417,226747,3615,2252,4420,30341,33932,100270,92822,40061,29259,48249,34815,4021,92548,74561,23868,45254,2582,5185,70372,41580,4404,60768,82262,33671,2309,86211,23811,2722,34711,77923,80521,34739,1654,2590,2268,102421,84608,27827,2385,31310,91357,87029,42454,37266,29873,393,9024,70372,63169,79728,31257,105540,2789,35251,94049,33900,47832,2093,116787,17857,36710,2376,29113,5584,41313,25069,32865,5028,36493,5057,38916,39344,27229,48008,37584,33107,32106,74748,31185,14224,19353,25390,45688,28602,158825,1711
"Gammaproteobacteria",607445,131394,76575,436746,74737,417892,1306192,490695,541655,85102,534198,490285,99692,768038,1943850,92127,82217,110072,490870,596485,1355098,1351831,612517,465293,593035,740142,90203,1351850,1474878,424019,620435,65209,91017,536062,616040,98332,418791,1337031,451606,82990,1601366,383180,90115,479013,1614540,570794,460585,67083,44326,81597,1412033,1435154,415156,86715,441055,650675,1504869,640112,546120,289427,9056,397627,536062,806228,1135917,559051,1468387,77227,775102,1438344,505523,458693,44309,1361415,304481,551313,83033,365610,121562,505640,329960,919022,115579,490077,149047,634562,654185,368252,710482,888995,379173,817444,877094,915651,435517,599149,1132549,526379,454397,1722970,55353
"Hydrogenophilalia",299,96,23,450,43,138,1035,405,335,70,439,456,38,822,1531,92,82,47,496,336,573,794,608,367,440,481,50,938,965,278,552,95,41,360,521,76,259,931,482,71,1150,203,89,363,1533,284,376,31,45,66,804,940,333,80,344,434,855,579,490,114,8,192,360,682,757,438,881,37,929,827,341,167,51,1059,299,455,100,143,123,411,217,658,67,440,117,545,376,298,612,584,280,538,496,707,355,355,813,294,360,853,47
"Oligoflexia",4067,1493,863,3009,669,4808,10988,3517,3411,492,4130,3380,803,6168,19609,620,481,925,3574,3295,10158,10123,3880,3023,4184,2974,752,8844,9366,2447,4316,566,760,4960,3845,643,3858,11387,3371,438,9044,2772,517,3388,8029,5280,3118,441,414,456,11067,9341,2609,447,2790,6306,9264,3879,3729,1958,61,1578,4960,4903,7993,3177,11055,570,5556,11298,3018,3769,380,10226,2235,3631,450,2805,1057,3877,2185,3068,898,3381,1517,3950,3267,2897,3396,2887,2967,3280,5711,2383,1934,2414,3870,3542,3072,15528,489
"Zetaproteobacteria",1150,1403,638,1121,233,760,4477,1594,1177,181,1537,1231,952,1909,3761,448,166,411,904,1320,6567,4049,1614,1273,1455,1667,433,3294,3627,1137,1850,676,230,1249,1684,277,704,2943,1604,138,4508,1103,186,1300,3399,1907,1354,431,102,158,3159,3483,1179,178,1218,1391,3238,1715,1398,516,22,1624,1249,1713,2331,1434,3219,313,1980,3405,1078,2597,96,3022,862,1560,181,767,581,1294,691,2204,470,1115,597,1441,2035,1026,1883,1590,1143,2224,2046,1908,1114,1797,2335,1495,1208,6267,279
"Spirochaetia",43897,26476,5582,33714,11979,41938,138869,34466,35535,7216,42359,33697,14686,106201,218405,11591,6760,16428,28526,46010,128871,121071,40276,34348,44603,66583,8580,94003,109330,33836,56055,9580,10194,59115,47282,13895,41292,129741,47052,6856,185683,50324,7840,33390,125907,59555,31052,9657,8950,6846,128900,126264,30506,6896,33025,68204,115614,44456,38822,20886,673,19746,59115,38904,92107,38359,135489,7749,97425,144996,36325,55054,7814,117099,27105,40922,7022,27930,13587,39436,26632,35802,11507,39294,17081,44804,34031,30477,36265,43833,35682,36328,70603,32673,22344,23607,51199,40559,34007,139332,5223
