"Order","stewartERR2027890","shiSRR873458","shiSRR873455","stewartERR2027917","shiSRR873463","wallaceERR983265","shiSRR873599","wallaceERR983268","stewartERR2027895","hessSRR094166","stewartERR2027928","stewartERR2027923","shiSRR873457","hessSRR094424","shiSRR873597","shiSRR873452","hessSRR094418","shiSRR873460","stewartERR2027903","stewartERR2027908","shiSRR873602","shiSRR873596","stewartERR2027927","stewartERR2027929","stewartERR2027912","wallaceERR983264","shiSRR873459","shiSRR873606","shiSRR873604","stewartERR2027909","stewartERR2027920","shiSRR873454","shiSRR873462","stewartERR2027889","stewartERR2027916","shiSRR873464","stewartERR2027891","shiSRR873595","stewartERR2027900","hessSRR094416","shiSRR873609","wallaceERR983263","hessSRR094415","stewartERR2027925","shiSRR1222431","stewartERR2027898","stewartERR2027918","shiSRR873456","hessSRR094419","hessSRR094403","shiSRR873598","shiSRR873605","stewartERR2027926","hessSRR094417","stewartERR2027915","stewartERR2027897","shiSRR873607","stewartERR2027924","stewartERR2027902","wallaceERR2027890","shiSRR1222429","wallaceERR2530126","wallaceERR2027889","stewartERR2027899","shiSRR1267595","stewartERR2027919","shiSRR873608","shiSRR873451","hessSRR094428","shiSRR873601","stewartERR2027910","stewartERR2027907","hessSRR094427","shiSRR873610","wallaceERR983269","stewartERR2027921","hessSRR094405","wallaceERR983266","shiSRR873465","stewartERR2027913","wallaceERR983262","stewartERR2027905","shiSRR873461","stewartERR2027911","shiSRR873453","stewartERR2027914","stewartERR2027901","wallaceERR983267","stewartERR2027893","stewartERR2027892","shiSRR873603","stewartERR2027904","stewartERR2027896","stewartERR2027894","wallaceERR2530127","stewartERR2027906","wallaceERR2282092","stewartERR2027930","stewartERR2027922","shiSRR873600","shiSRR873450"
"Nautiliales",3309,270,130,1427,110,2736,7599,1442,1651,87,2008,1578,117,1775,7815,103,85,164,1105,1425,4360,3527,1702,1140,1834,1431,157,3644,2858,717,2187,172,186,2685,1895,143,2253,2295,1733,79,4168,1313,95,1573,4674,2507,1321,35,122,102,3750,4199,1016,88,1311,3308,3422,1831,1516,1591,16,250,2685,3890,2324,1572,5258,117,1500,4232,1747,1857,119,5170,785,1374,95,3306,149,1686,916,1037,125,1757,67,1992,1465,1215,1975,2164,1458,970,2746,1130,775,601,783,1754,1232,5175,21
"Acidiferrobacterales",2218,601,195,2301,386,871,4660,1980,2654,619,2818,2325,346,4702,6240,328,567,516,1438,2514,3239,5085,3543,2301,3116,4565,315,5227,6024,1501,2966,311,397,2428,2992,464,2006,6250,1929,602,6771,1969,659,2035,7687,2116,2108,327,315,550,4421,6282,2147,675,2148,2834,6097,2916,2839,1044,22,2433,2428,5784,3231,2960,7810,296,5238,5759,2394,1648,323,5796,1755,2772,562,1079,502,2495,1211,5990,551,2190,688,3293,3728,1991,1886,6283,1715,5379,3672,6788,2940,3579,7876,2133,2497,5034,288
"Aeromonadales",21325,4320,2124,15678,3309,9605,44600,18451,32254,3419,17609,21585,4151,29169,52791,3238,3280,4211,17856,23063,46869,41831,22103,18281,21434,59238,3589,47508,55717,17844,21985,2767,3013,16719,23305,3424,12039,49513,18259,3351,62472,14803,3587,16951,62085,17910,16296,2914,1612,3380,43232,52201,15470,3540,17118,19758,49983,23365,19814,10140,353,26862,16719,62223,34317,21244,53312,2725,30072,52878,20809,18562,1683,45608,11411,21041,3429,12961,5506,18333,18828,88544,4660,17976,5087,24019,49493,13254,24477,77228,11271,68676,30366,84671,32311,45017,80577,19577,17404,49915,2075
"Alteromonadales",49096,7756,4250,27675,4562,31595,92533,37031,37737,4215,35947,33576,5088,47767,140917,6353,3897,5823,39331,42490,83130,92131,41742,29072,38263,44287,5230,90239,86956,29114,42304,3419,5016,37827,40667,5048,28781,83232,29615,4073,90316,29139,4582,37706,85155,52733,35993,3372,2699,4081,88035,89174,25270,4393,28183,47154,86791,49591,36095,23438,560,23632,37827,58180,75031,35519,95622,4651,44492,95991,34486,34357,2527,92000,18524,33435,4159,38348,7275,34240,24238,57871,7073,32798,8751,42795,42418,24567,73334,56148,25094,55694,62599,54676,31904,36213,58581,39999,26966,127519,2813
"Cardiobacteriales",992,265,122,939,266,486,2159,1000,1229,243,1086,1074,173,1996,2768,220,215,256,1307,1147,1677,1709,1294,953,1338,2434,185,2239,2700,1045,1157,167,207,1107,1403,329,818,2357,1052,228,3353,1189,238,803,3623,835,827,100,136,211,2117,2828,948,235,857,1240,2521,1119,1123,471,22,759,1107,2537,1275,1237,2840,109,2126,1988,978,2064,123,2244,727,1199,234,604,270,1312,713,3716,266,963,241,1300,2175,803,1332,3581,674,3157,1578,3506,882,2321,3454,959,1050,2203,129
"Cellvibrionales",9104,2947,1382,7030,1543,4443,21631,8947,8473,1571,8957,8476,2223,14308,32513,1806,1435,2213,8218,10396,21809,23005,10213,7833,9096,10676,2077,22648,26614,5704,11083,1400,1518,8561,10687,2175,6130,23081,7937,1330,25294,6882,1617,7422,25798,9597,7218,1353,836,1411,18253,24619,7253,1523,7336,9680,21319,10895,10570,4321,131,6080,8561,11674,18751,8677,22698,1290,14226,25365,8312,7375,832,22851,5372,8920,1423,5394,2659,8622,5361,15231,2301,7684,3033,9935,10077,6538,10893,14070,5847,13751,12924,14762,6344,8683,17052,8253,7574,27484,1038
"Chromatiales",22709,6525,2622,20885,3828,8512,57106,21474,22433,5035,24949,22575,5138,39724,63267,3911,4835,5814,20760,26664,52430,52910,29968,22517,28149,33896,4009,57903,66144,20659,28668,3431,4036,22266,30625,4869,17217,58662,20392,4905,74954,18008,5172,20218,81574,19985,19437,3669,2230,4638,45987,66776,21112,5050,21341,24899,61364,28926,26460,10748,382,18087,22266,36906,43040,28692,64620,3595,42831,63034,22229,16569,2386,57254,15994,27867,4826,10841,6325,23164,13647,43241,5574,22294,6690,30227,29114,17613,24820,43128,15979,39257,38005,45462,20034,28022,59241,20791,23557,65289,2676
"Enterobacterales",159513,32018,16810,110726,17851,95181,310465,125510,131133,19076,134571,125116,26678,176053,485654,24345,18477,27051,128395,152197,304803,318878,151477,118296,150634,175977,23658,301240,348634,106356,157607,15891,20720,136145,154184,25046,102722,326672,112382,18733,376334,92478,20427,125507,371815,144582,118100,18077,9616,18394,296466,341578,101963,19344,114207,165062,343638,164788,135654,76310,2019,93415,136145,196647,256222,139803,329234,20663,174736,355656,127130,124139,9540,307094,74768,136244,18510,97942,29795,128102,81695,212906,30086,124371,41281,160069,154743,91009,187638,207152,85775,189888,219186,207891,104494,143353,277194,135739,111364,421571,13075
"Immundisolibacterales",886,235,68,918,132,233,2024,791,780,226,912,804,230,1640,1946,88,196,170,619,944,2397,1673,1303,900,1066,932,115,2429,2385,948,1012,132,106,954,1136,158,631,1610,776,230,3303,558,216,688,3209,719,630,118,81,257,1613,2474,815,253,825,1002,2170,810,1162,411,11,649,954,554,1076,1162,2503,74,1848,2117,749,805,106,1970,622,1132,227,451,173,1003,449,827,168,1058,177,1298,850,607,649,1236,608,1650,1314,1384,615,925,2823,830,958,1968,64
"Legionellales",10368,1371,1043,6052,663,10571,16460,6439,7408,664,8658,6644,1268,9055,34201,1075,620,1032,5803,7367,19803,19972,7909,5601,8308,6403,1175,16770,16472,5022,8833,525,1093,10042,8085,1025,8367,17749,6188,582,14770,4646,735,7344,14308,12412,6855,597,555,632,18648,15927,5501,627,5892,13120,16610,9240,7021,4975,97,2032,10042,9331,15675,6279,18517,928,8096,18182,6379,9194,480,18067,3740,6642,627,5831,1197,7676,4941,6892,1112,6891,1505,8270,7295,5300,16228,7329,5245,7430,14549,7049,4251,4884,7079,8266,5463,27336,639
