"Order","stewartERR2027890","shiSRR873458","shiSRR873455","stewartERR2027917","shiSRR873463","wallaceERR983265","shiSRR873599","wallaceERR983268","stewartERR2027895","hessSRR094166","stewartERR2027928","stewartERR2027923","shiSRR873457","hessSRR094424","shiSRR873597","shiSRR873452","hessSRR094418","shiSRR873460","stewartERR2027903","stewartERR2027908","shiSRR873602","shiSRR873596","stewartERR2027927","stewartERR2027929","stewartERR2027912","wallaceERR983264","shiSRR873459","shiSRR873606","shiSRR873604","stewartERR2027909","stewartERR2027920","shiSRR873454","shiSRR873462","stewartERR2027889","stewartERR2027916","shiSRR873464","stewartERR2027891","shiSRR873595","stewartERR2027900","hessSRR094416","shiSRR873609","wallaceERR983263","hessSRR094415","stewartERR2027925","shiSRR1222431","stewartERR2027898","stewartERR2027918","shiSRR873456","hessSRR094419","hessSRR094403","shiSRR873598","shiSRR873605","stewartERR2027926","hessSRR094417","stewartERR2027915","stewartERR2027897","shiSRR873607","stewartERR2027924","stewartERR2027902","wallaceERR2027890","shiSRR1222429","wallaceERR2530126","wallaceERR2027889","stewartERR2027899","shiSRR1267595","stewartERR2027919","shiSRR873608","shiSRR873451","hessSRR094428","shiSRR873601","stewartERR2027910","stewartERR2027907","hessSRR094427","shiSRR873610","wallaceERR983269","stewartERR2027921","hessSRR094405","wallaceERR983266","shiSRR873465","stewartERR2027913","wallaceERR983262","stewartERR2027905","shiSRR873461","stewartERR2027911","shiSRR873453","stewartERR2027914","stewartERR2027901","wallaceERR983267","stewartERR2027893","stewartERR2027892","shiSRR873603","stewartERR2027904","stewartERR2027896","stewartERR2027894","wallaceERR2530127","stewartERR2027906","wallaceERR2282092","stewartERR2027930","stewartERR2027922","shiSRR873600","shiSRR873450"
"Acidilobales",504,36,31,327,42,644,626,266,474,31,605,271,17,348,2147,14,28,56,231,468,905,943,359,308,494,198,47,1162,998,196,414,16,63,702,309,64,684,641,319,19,1329,248,46,339,1344,521,371,22,23,27,816,796,292,39,285,1057,917,435,485,236,1,25,702,224,732,324,1077,23,416,943,421,1100,32,1486,182,365,30,134,99,377,201,184,84,439,34,427,330,248,451,317,239,231,969,180,39,116,181,392,231,1501,17
"Desulfurococcales",1108,279,105,771,118,621,1662,807,544,106,948,648,235,1111,3026,198,108,233,621,1131,1585,2383,903,786,1081,690,151,2956,2375,489,1171,154,181,996,966,109,821,2749,713,109,2761,485,123,767,2213,911,726,211,73,111,2446,2179,691,100,764,1459,2206,1103,819,510,10,149,996,561,1616,742,2199,82,1072,2558,849,355,71,2542,477,742,118,264,195,776,408,425,197,797,266,872,610,583,766,560,563,517,1368,677,158,334,573,801,658,3077,57
"Fervidicoccales",145,5,4,71,3,230,123,113,185,6,147,83,5,75,497,1,4,3,34,122,196,148,102,73,108,138,2,198,128,42,119,0,11,257,96,5,179,102,103,10,189,67,5,83,174,237,113,0,6,6,202,107,66,3,100,342,179,88,62,69,0,39,257,41,110,60,327,3,50,111,73,56,1,292,36,107,5,108,4,94,148,53,6,98,2,90,122,73,104,42,50,183,195,67,30,21,129,131,57,308,0
"Sulfolobales",4512,295,356,2012,111,5295,4307,1555,3483,114,3589,1933,175,1690,13651,152,74,216,1701,1661,5344,4536,2195,1689,3428,1184,173,5718,4316,1157,2550,139,474,5921,2438,213,4968,3781,1646,98,5853,1020,120,2099,4603,4926,2277,66,98,109,7494,4282,1756,100,1964,8299,5780,2591,2270,2263,13,206,5921,2143,4336,1686,5570,218,1463,4564,2092,1923,83,6285,895,2102,109,1412,279,2810,1100,923,237,2585,127,2094,2731,1590,2722,1444,1781,1492,5729,1045,402,687,917,3350,1789,10826,124
"Thermoproteales",989,367,49,819,116,882,4543,822,661,141,976,885,131,1349,4046,72,148,177,929,953,4195,1921,1179,905,1172,463,111,2208,2605,924,1174,123,90,1183,1285,100,934,2104,821,141,2726,755,181,824,2582,714,756,81,85,138,2740,2407,776,169,870,1661,2490,1189,1084,468,12,347,1183,1138,1959,900,2493,80,1471,3217,717,487,62,2762,472,1139,177,350,147,953,403,952,118,985,160,1064,712,658,1139,798,578,886,1613,808,423,339,1732,835,829,2467,53
"Archaeoglobales",808,119,408,774,106,836,1753,740,835,140,851,697,86,1546,3734,216,111,95,481,980,2017,1846,937,711,1050,1015,145,2033,2631,798,977,56,384,1002,1283,114,723,1738,425,151,2163,662,135,797,2475,1379,638,76,80,131,2987,2124,742,151,789,1485,2363,821,862,406,14,463,1002,1645,1461,819,2359,128,1516,1418,841,656,87,2421,623,703,132,376,118,882,465,928,195,853,146,906,976,671,828,1100,585,920,1488,914,547,781,1524,829,766,2220,52
"Halobacteriales",3655,894,378,4517,556,1296,10549,4414,3600,1064,4941,4132,541,7888,15163,410,1133,755,3173,5010,8670,9753,6058,4858,6403,4397,575,10949,12891,4436,5996,405,566,4675,6269,550,3182,10904,4370,1099,14117,3231,1136,4073,15668,3867,4027,398,460,1014,6997,13014,4405,1192,4699,5077,14313,5545,5250,1669,68,3584,4675,3665,7881,5889,12818,426,8948,12317,4026,3060,458,10530,3260,5716,1105,1659,688,4948,1815,4162,762,4474,846,6361,3700,3374,3574,4961,3554,5118,6870,5264,2212,3858,9501,3958,5095,13588,295
"Haloferacales",3717,693,376,4484,429,1494,9675,3678,3509,1091,5368,3919,555,7701,11187,529,1102,660,3440,5862,11322,9034,6143,4473,5928,4813,504,10077,11608,3599,6274,399,516,4678,6119,498,3920,11531,3820,1031,14077,3153,1181,4095,15269,3794,3934,359,404,1017,9335,11843,4342,1149,4179,5180,11022,5495,5289,1759,86,2880,4678,5920,6724,5961,11730,417,8764,11781,4512,3022,484,10968,3092,5711,1111,1477,713,4887,1794,5032,622,4394,1125,6375,4437,3451,3946,5253,3368,5447,7129,5275,2497,5023,10881,3432,4902,10930,365
"Natrialbales",4018,710,304,5025,523,1338,9486,3906,4019,1100,5370,4422,563,8228,11659,632,1091,753,3888,5710,7769,10033,6567,5188,6763,4543,557,10337,12705,4984,6630,395,609,4728,6443,723,3597,11281,3513,1125,15290,3035,1209,4330,16460,3457,4282,434,378,1165,7755,12572,4668,1191,4606,5369,11679,5453,5335,1854,76,2718,4728,5538,7971,6364,12281,576,9340,11367,4363,3267,476,11537,3299,6084,1164,1482,771,5312,1815,6321,704,4563,997,6690,4065,3579,3761,6240,2880,5448,7584,5879,2557,5015,11221,3739,5328,11014,431
"Methanobacteriales",174069,30601,18997,570442,5603,785601,190224,582148,129536,10863,667798,366050,2254,173827,617288,2214,10355,7230,205814,584443,263350,190076,518347,418053,693117,97036,21756,135551,409027,286886,806335,1086,27840,301685,632731,11632,213762,283153,159532,10534,408835,245046,14458,576903,270870,283775,671686,2424,24384,10617,218877,386003,419505,11045,570462,739893,557315,1139036,678713,83701,1244,2688,301685,152638,87808,434749,294659,5771,129394,437406,382197,294522,17014,373507,547612,319822,11160,142074,14529,636370,116941,327612,39958,566689,3228,529419,306327,440748,211992,180375,90617,138142,334080,121853,7044,158934,208872,253106,326771,544847,2409
"Methanococcales",6201,347,450,5617,183,12989,9028,4392,5647,174,7644,4126,207,3132,26788,121,144,197,3622,5371,13748,9870,5557,4248,7818,3225,324,6981,7876,3455,7338,72,454,8982,6041,295,7576,12351,4126,151,9374,3547,211,5594,7886,8461,6586,97,193,159,16169,9009,4214,147,5295,13490,11107,9437,6684,3017,44,278,8982,5151,7942,3920,10212,144,2320,12473,4576,3969,109,12012,3897,4320,157,2268,274,6475,3244,3290,268,5679,116,5517,5582,4117,5189,3801,3648,4163,8273,3237,1110,2632,2170,5615,3974,19375,117
"Methanocellales",891,161,66,1105,139,446,1865,1019,706,312,1173,967,128,2775,3015,76,317,134,686,1083,1957,1851,1250,1264,1557,1026,125,2098,2757,842,1481,78,142,1301,1444,94,837,2978,821,287,3893,866,342,872,3520,965,757,91,162,270,2064,2721,871,310,1086,1307,3262,1135,1171,430,19,581,1301,830,1471,1428,3403,73,2864,2816,1031,1396,188,2490,752,1400,283,361,148,1148,362,639,122,1069,186,1374,781,870,730,1108,691,915,1730,1347,612,984,2205,887,1177,2626,78
"Methanomicrobiales",3149,658,292,3455,479,2436,8727,3871,2828,1218,3921,3362,453,19720,12017,531,1221,669,3015,3920,7878,7551,4518,3862,4734,3787,651,8263,11198,4675,4642,365,510,3856,4890,474,2670,10668,2994,1167,11445,3372,1306,3144,11530,4121,2862,278,1600,1191,8353,10883,3158,1244,3571,4234,10616,4065,4132,1520,77,3114,3856,3780,5384,4405,10259,406,18067,10501,3583,3420,1491,8692,2861,4401,1200,2469,661,4142,2275,2736,650,3877,886,4549,3158,3053,2709,3087,2505,4549,5919,2783,2356,3396,8770,3206,3606,9228,384
"Methanosarcinales",7559,1083,1847,6282,752,11034,16523,5741,6399,916,8386,6172,1003,12185,29486,582,907,694,6223,6898,22360,17416,7085,6661,9145,5367,880,14850,17932,6713,8692,403,1382,9363,8438,740,7097,16483,5873,933,19087,4610,1029,5908,18312,8119,5994,368,1367,864,16024,17046,5745,929,6345,11572,19817,8466,6798,3726,102,2939,9363,7972,12849,6952,19409,647,10889,18720,6191,7362,1129,17416,4547,6985,961,4134,914,7763,4314,5512,941,6721,941,7397,6805,5540,6423,5399,4890,7478,11529,5441,4173,5173,8964,6852,6169,22842,403
"Methanopyrales",137,25,24,165,19,67,205,166,76,48,162,139,23,359,567,11,54,39,47,153,328,281,179,209,217,98,18,251,334,94,146,20,24,153,162,24,95,290,61,31,501,99,45,136,530,69,119,48,22,40,222,475,135,46,161,131,342,131,155,71,1,82,153,101,181,217,393,28,353,451,100,38,18,286,136,158,34,82,24,169,82,122,18,145,26,195,79,122,44,68,65,148,195,54,42,59,204,123,154,400,14
"Thermococcales",4006,1088,648,4160,868,3996,13783,4083,4028,772,4811,4656,1031,7676,17679,819,770,971,3385,4793,14300,11996,5179,4574,5882,4832,1150,11029,14543,4510,5876,667,917,4827,6013,869,3379,12523,4755,768,15356,4215,847,3780,15338,6852,3565,548,396,802,11130,14152,4050,771,4553,5507,14488,4921,4969,1921,77,2948,4827,5785,10268,5049,15091,733,7767,13372,4557,4426,429,13170,3048,5687,807,2302,1167,4807,2616,5397,983,4388,1167,5354,4141,3514,4159,5272,3568,6219,7191,5587,2838,3970,9739,3876,4173,14452,521
"Methanomassiliicoccales",1742,1723,287,1538,2716,1319,9869,2078,1642,1147,2162,1636,360,20468,8470,375,1119,1506,1716,3587,7382,4673,2260,1551,1972,3553,1199,6882,11398,1650,2413,629,1122,2201,2180,1146,2251,3938,2848,1114,8357,1931,1299,1251,10627,2017,1534,263,1714,1133,4519,9608,1482,1192,1679,2307,10711,2099,1628,830,31,2513,2201,2667,4095,2429,17256,302,18658,5085,2328,2982,1582,11774,1771,1654,1119,645,1543,1917,1654,2059,995,2294,573,1846,2647,1927,2265,4743,2672,2284,4088,3784,1667,2174,6045,1819,1661,5097,206
"Thermoplasmatales",2614,1307,193,1857,1455,1681,13007,2237,2356,1172,2813,1839,545,18415,10812,318,1098,1061,2360,4120,11231,8369,2520,2077,2459,2382,941,9077,12823,1867,2830,537,698,3254,2382,816,3234,4688,2469,1097,9395,2496,1262,1581,13474,2853,1762,245,1375,1154,7040,12211,1794,1189,1934,3789,13466,2482,2007,1238,38,2208,3254,2537,5647,2623,21157,691,17171,5641,3182,2635,1249,13652,1838,2374,1117,722,1169,2338,1242,1997,807,3059,518,2293,2242,2081,3295,4049,3285,1841,5726,2846,1353,1530,5334,2505,1964,7573,97
"Nitrosopumilales",1414,68,144,1037,53,1997,1676,786,1157,43,1429,849,25,785,4881,36,34,26,695,854,2269,1856,992,768,1494,632,75,2123,1384,516,1351,12,124,1823,1096,39,1530,1399,775,48,1866,484,58,987,1376,1181,1147,12,38,35,2495,1580,844,31,869,2722,2217,1616,1072,728,8,55,1823,1527,1791,677,2099,32,614,1607,794,1395,33,2377,531,854,32,516,69,1060,529,667,71,1184,34,940,1074,676,1064,588,630,738,1487,396,194,992,541,1058,630,3213,23
"Candidatus Nitrosocaldales",66,2,2,81,4,118,182,49,88,5,59,34,28,76,312,7,11,2,115,86,144,156,100,24,74,41,1,95,78,50,79,2,5,117,39,3,76,75,98,5,169,75,7,133,133,51,53,1,12,5,188,96,29,4,35,105,80,57,53,27,1,17,117,27,61,37,117,2,80,122,37,38,4,160,23,50,3,21,13,48,33,56,2,26,10,38,68,40,44,82,27,92,63,30,16,86,24,45,72,199,1
"Nitrososphaerales",1088,213,255,677,65,1199,2164,565,1005,106,1037,785,77,962,6439,66,60,88,562,787,2324,2107,799,645,1044,1112,77,2127,1905,488,929,70,108,1399,843,63,1108,1798,851,70,2495,364,90,821,1949,1240,784,67,49,85,1957,1966,588,87,722,2061,2244,892,872,537,9,283,1399,1225,1277,620,2299,70,898,2126,734,712,39,2165,387,652,77,268,105,887,547,1135,125,925,114,789,1157,578,1104,1017,774,1130,1512,1062,449,806,911,976,613,4705,20
"Acidobacteriales",7137,2955,1416,8054,1780,3293,23070,8279,7057,1939,9007,7649,2500,17573,27734,2198,1987,2666,7128,10384,22199,22613,10485,8561,10868,10178,1982,24347,27691,9247,11164,1412,1745,8260,10944,2022,6276,25287,8032,1963,30411,6588,2152,6859,30864,9020,6957,1728,1035,1978,21347,27522,7777,2018,8591,8710,26944,9911,9212,3379,152,6394,8260,8804,17813,9884,27830,1453,18589,24898,7819,7590,1076,24979,6344,10680,1885,3407,2938,8357,4426,9176,2690,7837,3635,10845,7787,6787,6757,9038,7106,10316,13745,9098,6535,8715,18988,7181,8767,29869,1200
"Solibacterales",1699,355,244,1713,254,545,3952,1645,1082,515,1944,1523,230,4060,6558,192,459,362,1569,1938,2866,4228,2422,1830,2282,1582,320,4312,5361,1595,2372,219,271,1939,2486,276,1323,5086,1438,499,4958,1138,506,1493,5958,1715,1435,230,252,446,3377,5113,1629,522,1692,1960,4635,2413,2158,801,34,628,1939,1651,3500,2207,5021,192,4549,4938,1467,1485,270,4355,1270,2173,456,533,340,1919,887,1394,304,1867,533,2307,1144,1325,1426,1356,1462,1745,2204,1330,691,796,2567,1523,1993,5707,167
"Acidimicrobiales",299,122,40,392,73,131,812,285,257,95,346,266,40,839,706,82,101,75,263,385,532,796,486,327,405,356,41,654,907,187,406,58,73,344,488,49,322,593,382,92,1097,305,98,272,1027,371,277,57,60,105,615,1021,255,111,306,452,881,375,360,131,4,260,344,431,334,370,1548,53,1028,987,302,268,76,1013,248,354,105,114,104,393,216,256,45,252,67,475,215,314,222,417,266,322,460,652,245,429,893,293,344,937,33
"Acidothermales",343,118,101,357,65,181,679,391,434,89,417,342,148,737,1186,127,84,151,234,378,636,1104,525,390,426,917,85,841,1136,636,474,45,60,355,473,115,299,981,356,104,1147,357,94,255,1398,245,253,228,33,74,964,1124,356,84,363,477,1044,359,448,169,6,235,355,581,742,428,958,255,870,1629,367,209,49,1031,293,534,91,137,130,425,241,925,92,431,168,517,602,320,260,819,283,875,499,979,354,423,1078,356,452,1066,176
"Actinomycetales",15947,6371,2810,19941,4352,6602,45857,18965,16922,4932,21318,18009,5486,39660,60531,3353,4709,5534,16968,21596,46894,41435,24721,23958,27095,23071,4072,41623,55881,18386,26269,4753,3983,20221,27681,5135,13134,49669,18353,4922,71133,17745,5164,17267,76386,16933,15515,3539,2702,4772,37978,56372,18922,5207,21424,20565,56173,23240,21876,7340,355,15257,20221,19292,28764,25559,57115,3576,42685,58773,19756,17695,2916,43264,14840,27043,4953,8575,5674,20978,9559,22509,5252,20563,7846,26578,18236,15394,16205,20349,12694,23225,31265,23536,12889,20314,65058,16500,22093,48544,2937
"Actinopolysporales",566,113,35,603,80,127,1385,544,597,232,662,562,88,1228,1686,55,222,90,322,715,894,1112,800,678,821,580,76,1105,1659,497,743,60,63,664,868,68,496,1236,439,236,2473,444,219,546,2313,459,426,84,68,217,937,1600,679,278,590,775,1929,653,630,273,13,480,664,691,817,856,1937,30,1402,1554,643,834,89,1504,499,817,227,222,137,693,126,899,111,545,145,915,620,532,382,973,403,710,951,1152,284,538,1316,558,730,1232,36
"Bifidobacteriales",112650,8516,3973,42031,5558,18134,76689,40809,41413,7282,44867,107423,6962,60660,111233,5634,7014,7228,973332,74043,79492,209801,42901,763594,43798,48040,5258,60631,88992,1071337,74770,4773,5468,47183,53991,5736,24350,107491,38190,7108,109089,36300,7606,82186,114794,48308,27329,4156,4440,7043,67130,90372,30959,7370,117842,55390,95860,49566,161397,50471,580,48895,47183,47368,44864,42933,90551,7473,65089,97228,39965,40725,4851,70367,30767,350668,7035,75074,7925,40982,65962,39904,6648,47004,10967,43449,38177,27062,35313,41986,21204,53768,161748,45683,44570,47464,388092,92480,56409,108725,4892
"Candidatus Nanopelagicales",1721,475,195,1411,365,1321,4733,1809,1206,186,1555,1524,488,2773,6516,209,174,422,1372,1643,4599,3470,1849,1554,1869,1786,295,3718,3781,1111,1825,157,323,1737,1959,266,1376,4064,1219,172,4366,1380,220,1650,3746,2042,1311,184,174,184,3223,3628,1476,168,1419,1841,3784,2065,1909,802,24,755,1737,2597,3315,1539,4830,207,2295,4163,1491,1425,166,5539,1136,1892,172,1296,578,1696,958,1383,418,1540,684,1806,1011,1325,1629,1442,1076,1393,2465,1523,1147,1062,1894,1489,1488,4898,165
"Catenulisporales",1332,300,90,1456,180,317,3362,1046,1164,404,1745,1376,218,2567,3322,133,398,255,866,1331,2289,2492,2005,1536,2023,1475,163,2502,3535,820,2065,186,156,1490,2056,177,1130,2766,1175,395,4697,1171,402,1138,5231,837,1134,122,122,393,2438,3848,1416,386,1472,1693,3848,1423,1756,652,19,443,1490,686,1799,1905,4150,123,3056,3377,1402,618,168,2784,1052,1872,358,578,179,1495,381,1116,204,1612,226,2123,797,1057,1102,1330,1025,1039,1886,1308,512,954,2165,1192,1733,2543,118
"Corynebacteriales",84584,28664,13028,93945,17889,30458,220186,85710,74675,23013,106610,88422,23317,166031,257671,16877,22644,26217,74718,110379,219711,198173,127597,105410,123934,87898,19991,210147,268205,88652,123222,15045,18555,99552,135136,25090,71568,236190,84600,22966,317344,73095,24119,81433,339748,83105,78616,13892,9135,22266,174409,266272,92744,23725,95217,102160,259706,113447,112212,39913,1509,64941,99552,86178,148361,124926,259956,15062,179702,258702,99164,71029,9926,220260,74120,123071,22740,37957,27207,106709,40218,94840,26818,99105,32206,128450,76911,75167,76570,108257,63675,104057,161421,105573,54855,88793,242784,82204,104105,271133,13190
"Frankiales",5081,1396,481,6362,759,1576,13362,5601,4601,1534,6732,5496,1077,10298,17721,674,1529,1162,3883,6875,12240,12506,8787,6969,8435,6653,1078,13778,16444,4411,7976,750,826,6724,8671,875,4674,13536,5745,1585,19855,4668,1623,5377,21332,5007,4851,775,463,1471,9061,17770,6239,1586,6628,7265,15390,7000,7446,2348,104,2507,6724,5817,7972,8255,17043,738,11567,17140,5539,4509,583,12747,4558,8408,1526,1870,1026,6636,2165,6958,1037,5957,1720,8547,5278,4668,4277,7066,4434,6719,9138,7271,2987,5345,14024,5307,7280,14411,622
"Geodermatophilales",1776,461,162,2480,227,478,6708,1737,1870,615,2471,1900,249,3513,5586,316,551,565,1407,2304,4116,4047,3099,2549,3162,2226,300,5354,5539,2275,3070,274,289,2709,3227,360,1804,5602,2074,607,7873,1721,615,1919,8541,1447,1775,265,169,620,3632,6518,2190,610,2388,2589,6157,2239,2486,824,36,1124,2709,2384,2774,3038,6875,177,4012,5936,2044,1957,212,4436,1632,3102,586,642,346,2398,673,2137,314,2122,486,3208,1522,1618,2106,2438,1793,2092,3600,2654,980,2071,4741,1695,2633,4909,244
"Glycomycetales",897,186,63,1141,133,271,3134,1021,527,347,1062,1028,232,2275,2660,102,339,186,604,1075,1600,2082,1431,1233,1443,823,131,2411,2885,602,1336,132,152,1216,1490,127,920,2332,788,332,3506,892,357,850,3744,873,801,107,108,328,1363,2848,1079,308,1073,1195,2772,1084,1269,435,13,565,1216,794,1062,1576,3260,74,2639,2387,1090,969,160,2164,841,1528,326,498,149,1191,403,493,198,1111,179,1493,595,916,902,760,699,649,2146,1108,399,466,2091,1018,1236,2166,65
"Jiangellales",1979,448,148,2517,287,349,3583,1806,1743,651,2671,1881,280,3632,4656,249,598,475,986,2479,3562,4304,3699,2382,3395,1441,248,5457,5836,1748,2956,187,302,2477,3310,357,1858,4779,1971,592,7482,1521,631,1929,8466,1538,1948,185,165,573,3267,6130,2479,619,2282,2552,6320,2509,2888,942,46,961,2477,1850,2342,3265,6616,226,4167,5514,2090,1304,197,4305,1753,3116,592,711,352,2693,765,1656,400,2359,396,3376,2214,1834,1560,2301,1534,2969,3681,2562,789,1724,5164,1797,2925,4602,160
"Kineosporiales",661,194,71,968,141,149,1954,576,474,226,1033,746,144,1598,2212,82,269,176,539,980,1348,1388,1198,890,1123,576,97,1754,2190,539,1046,136,124,968,1215,114,683,1837,759,258,2858,748,256,698,3019,475,643,96,52,262,1454,2484,838,262,920,952,2312,997,1052,315,12,453,968,204,1037,1147,2078,97,1805,2168,787,739,78,1553,583,1095,283,224,136,986,402,397,160,932,195,1146,391,569,664,630,536,358,1280,612,190,293,1175,696,974,1947,48
"Micrococcales",84789,24873,11886,98553,16691,26162,218073,86021,77539,25503,110855,89324,19474,180337,277940,15807,25124,21899,73206,111697,205612,208792,132711,109558,132892,96077,16654,219294,284589,94418,128509,13989,16052,101937,136732,19229,74942,250667,92115,25004,341879,79074,26536,84675,371074,79603,80543,13827,10070,24873,193114,282277,95516,26564,100061,109284,278891,111493,116890,39508,1679,66351,101937,99892,151474,131695,282234,14420,199754,276653,92911,79590,11897,236146,72702,131919,25290,36321,23694,108497,40299,98150,20722,101355,30644,136612,85462,78156,77221,113274,68935,109606,151550,108684,57173,97478,263267,80868,113024,267450,12729
"Micromonosporales",20807,4894,1823,24777,3071,5306,51238,19551,17257,6416,26343,21154,4139,40174,59135,2319,6424,4361,16015,26230,44391,43555,33265,26622,33429,17701,2950,53070,61933,19987,30917,2613,2933,25609,33323,3524,18552,53974,21160,6268,79131,16383,6559,20223,86487,19127,19678,2261,1835,6204,38595,66827,24387,6636,24866,26638,63274,26619,28679,9807,321,12271,25609,17819,31815,32895,67235,2183,44913,56539,22722,14698,2166,49647,17351,33442,6360,7752,4000,26214,7022,19568,3994,24561,5348,34066,15566,18031,18557,21860,15862,19654,36724,24491,11751,18722,47576,19907,28312,55841,1793
"Nakamurellales",1435,407,224,1697,286,443,3957,1537,1426,475,2079,1643,300,3409,3810,230,486,462,1336,2012,2992,4636,2466,1866,2183,1973,356,5132,5567,1430,2084,204,338,1778,2174,398,1450,3579,1627,429,6856,1404,470,1406,7271,1268,1445,230,172,455,2894,5524,1684,468,1820,1957,5506,1918,2054,674,26,1525,1778,2307,3479,2287,5723,319,3830,4344,1669,1469,212,4988,1392,2377,449,627,412,1876,580,2799,485,1789,407,2509,1955,1455,1219,2772,1331,2400,3058,2933,1125,2259,5974,1467,2011,4955,208
"Propionibacteriales",26423,10063,4103,34829,6804,8028,74218,28195,24413,8276,34826,28494,7923,59917,85521,6243,8260,8933,22127,34292,69406,66584,46029,35725,47895,31722,6593,70880,88079,27334,40220,5563,5960,33965,44441,8128,23827,77667,28165,8263,109986,24371,8608,26079,123491,24442,25557,5324,3079,8157,57181,90569,33695,8416,32776,34938,88127,34600,37197,12301,532,18880,33965,30346,46441,42955,91353,5891,66223,90319,30512,23762,3505,71798,24101,43306,8239,11746,9659,35255,12162,29941,9223,32850,10379,44033,24281,25292,23925,32264,22415,31209,50476,34053,16325,29090,79131,26772,37955,79002,4248
"Pseudonocardiales",25342,5469,2305,28814,3437,5601,53275,22531,20925,8326,31860,24925,3780,47712,69071,2903,8197,5077,17711,34009,52120,52260,39405,31098,39274,18785,3456,58705,71940,24800,36831,2642,3564,32238,39237,3745,23566,63887,23509,8223,89615,18082,8702,24176,97723,21147,22819,2743,2141,8099,42959,75287,28489,8609,27985,32977,69943,30602,35777,11992,457,15486,32238,26024,35143,38623,74840,3081,54171,67627,27708,20685,2724,57415,19651,38125,8226,8744,5224,31774,8311,26472,4309,29505,5349,40262,18547,20928,22170,27621,18936,24756,54076,30851,11893,23983,59630,24194,32925,65475,2193
"Streptomycetales",94561,23546,9251,114450,14181,23282,239228,87610,77416,29532,123888,97308,16706,178740,268128,11479,29477,21522,71310,124572,209627,206915,156709,120093,156770,82045,14522,242271,294090,89738,142831,12772,13693,118372,152830,15757,86905,249094,97196,29049,367299,76985,30675,94536,401647,83043,90097,12037,8132,28713,181277,311840,112039,30997,109240,125599,294192,121053,132912,44546,1723,51958,118372,90051,150201,152423,303892,11008,204607,281897,102085,72768,9744,234311,76936,150673,29389,34737,19064,123810,31641,92588,20764,111810,21968,158961,72723,80557,84509,100306,76061,93858,180247,110805,47070,88529,226598,94045,130927,248300,8470
"Streptosporangiales",17908,2438,1073,10733,1499,2810,24373,10244,8110,2997,39141,13979,1998,19847,25651,1649,3083,2474,7935,26237,23268,18315,17407,11984,15461,8436,1832,22512,27339,17911,13427,1425,1687,22147,16152,1868,21441,24457,9512,3013,34112,8224,3253,10057,38473,7557,8881,1338,934,2981,17149,29681,13013,3185,11487,15814,28559,12576,18460,8143,166,4961,22147,10577,14051,14551,29431,1100,22010,27291,16837,6933,1163,20943,9103,14941,3126,3469,2521,14442,3261,13015,2445,23553,2960,17778,7688,8056,8160,10836,6714,10186,48667,11591,4847,8316,22481,12428,12381,22524,1217
"Coriobacteriales",65557,41482,82496,91398,16066,73147,707095,70928,181584,14199,82923,107795,46300,100273,2238052,38148,13773,24815,194594,107978,686681,1010343,89624,113749,108063,240096,17258,116766,305245,577681,125520,28964,18492,74580,141542,22215,43905,1630331,153271,14135,443296,130358,15094,79238,445994,187113,75373,40142,6794,13763,1454125,336050,68512,14876,114364,103328,415560,102210,101144,30438,3125,170548,74580,203779,250405,108052,235459,51081,108717,930379,121096,447577,7702,215425,62576,238871,14202,44863,22077,94100,94734,245577,21011,125303,124799,103044,366086,64608,56245,120629,138208,305336,103735,112754,124145,511325,1602729,62283,85513,1601475,71403
"Eggerthellales",66210,16524,8008,73076,8448,16314,133552,52011,72158,14400,72494,54693,13316,85239,219534,9569,13893,15564,53058,66499,162936,118962,83332,66197,90766,57302,9543,84793,184119,57710,86529,11065,10889,76250,107471,11488,40930,191892,50798,14029,235998,53569,14977,48630,231777,53079,42868,8045,5383,13700,117230,190373,61233,14527,64042,61075,203657,94047,64644,30623,1050,24201,76250,38434,70389,91774,152941,10614,92536,206000,62694,47544,6135,137379,51907,78457,14068,30114,10931,72298,21439,52668,11760,62876,21266,88728,55463,49441,55445,74839,37939,55360,92392,82510,21309,60483,183753,54966,76307,198112,9902
"Egibacterales",677,150,40,761,73,180,1263,566,734,181,815,570,95,1369,1608,86,200,131,303,688,1171,1182,1130,681,1048,636,58,1718,2219,492,993,72,62,852,1047,122,603,1553,849,195,2473,682,212,630,2895,516,642,51,80,185,1025,1986,807,195,715,978,2087,704,1008,308,9,448,852,1753,969,966,2044,76,1538,1943,648,835,81,1845,609,1022,208,271,183,830,313,1156,113,684,161,1128,721,630,506,1217,473,722,1355,1166,768,763,2417,683,952,1289,87
"Egicoccales",750,1141,128,1067,198,240,2092,991,837,273,1141,1023,236,2113,2414,112,289,524,603,1380,1886,2043,1416,1206,1409,1268,255,2398,2816,714,1306,147,197,1186,1460,322,706,2747,895,263,4027,950,304,768,4348,659,825,192,134,259,1455,3016,1034,312,1024,1119,2869,987,1187,330,24,632,1186,998,1759,1313,2627,184,2435,3337,1293,532,155,2620,764,1370,291,396,306,1140,304,1516,457,1151,371,1427,940,798,590,1381,670,1051,1592,1440,357,1248,2180,907,1159,2266,126
