"group","hessSRR094424","shiSRR873453","stewartERR2027897","stewartERR2027900","stewartERR2027917","hessSRR094417","stewartERR2027930","wallaceERR983267","shiSRR873460","shiSRR873452","stewartERR2027891","wallaceERR983263","shiSRR873606","stewartERR2027921","stewartERR2027890","stewartERR2027903","stewartERR2027904","wallaceERR2027890","shiSRR873603","stewartERR2027895","hessSRR094427","wallaceERR2282092","stewartERR2027928","shiSRR873601","hessSRR094416","wallaceERR983268","stewartERR2027914","stewartERR2027905","wallaceERR983265","shiSRR873461","shiSRR873450","stewartERR2027924","shiSRR873457","stewartERR2027919","stewartERR2027925","stewartERR2027910","shiSRR1267595","stewartERR2027927","shiSRR873463","stewartERR2027894","stewartERR2027899","stewartERR2027920","wallaceERR983264","shiSRR873455","wallaceERR2530126","stewartERR2027915","shiSRR873458","stewartERR2027916","stewartERR2027907","shiSRR873456","stewartERR2027901","hessSRR094403","stewartERR2027913","hessSRR094418","shiSRR873598","shiSRR873465","shiSRR873607","shiSRR873600","hessSRR094428","wallaceERR983269","shiSRR873602","stewartERR2027926","stewartERR2027923","shiSRR873464","shiSRR873608","stewartERR2027908","stewartERR2027893","shiSRR1222431","hessSRR094166","stewartERR2027898","stewartERR2027902","shiSRR873605","stewartERR2027909","stewartERR2027929","shiSRR873454","wallaceERR2530127","wallaceERR983266","shiSRR873595","shiSRR873610","hessSRR094405","wallaceERR983262","wallaceERR2027889","stewartERR2027892","stewartERR2027912","stewartERR2027906","shiSRR873451","hessSRR094419","shiSRR873609","shiSRR873596","stewartERR2027896","stewartERR2027922","stewartERR2027918","stewartERR2027889","shiSRR873462","shiSRR873459","shiSRR873599","stewartERR2027911","hessSRR094415","shiSRR873604","shiSRR873597"
"CZCCM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.8672490943959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CZCD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.09155479792599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CZCE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.538248455146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CZCP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.4446338518361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CZCR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.2036366219192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CZCS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5008878471482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DMEF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.781163434903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EMRRSM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.45135247909145
"ERM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.95454545454545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERMB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.404829032024868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.45494519706424,0,0,0,0,0,0,0,0,0,0,0
"ERMF",0,0,2.17817468961011,0,6.92963752665245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.55898146544258,9.91080277502478,8.09151785714286,0,0,0,0,0,0,0,0,0,0,0,0,3.68550368550369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.27314912465725,0,0,0,11.1374407582938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.37774030354132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERMG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.28689200329761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.99968183264397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GADE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.10967098703888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GADX",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.27442671984048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HDEA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.49551345962114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LNUC",85.2040075504574,0,6.75234153779133,92.1723834652595,13.592750533049,34.5002536783359,21.0315473209815,20.0072753728629,0,0,4.43951165371809,16.8253968253968,0,8.56793145654835,6.0077519379845,19.0599256985947,172.135201978566,3.52250489236791,0,16.7975168888077,88.1298992161254,12.6429433908658,36.8181818181818,0,44.2692540933899,12.1920875839761,5.36982504763554,97.7205153617443,58.8727678571429,0,21.9591369104449,10.9433962264151,0,14.4389438943894,27.7630883130619,9.37555280382098,0,12.9680365296804,0,111.369448965357,26.580984372718,4.91400491400491,208.828522920204,21.9842164599775,0,61.1769686706181,0,13.3227597145123,83.6030204962244,0,33.8848234171174,33.7013364323068,17.5143953934741,39.8040416411513,0,0,0,38.0109670987039,91.7316803818888,11.9536794919686,0,5.27314912465725,11.5800700898979,0,0,28.1990521327014,7.29427855026214,0,26.6331658291457,12.4838172739042,7.76737701653057,0,4.79751657965289,12.9895689824838,0,29.7326786688489,10.7615894039735,35.3847640210618,0,29.6979006656426,114.627887082977,15.7189089227924,29.1211648465939,10.539629005059,166.352497643732,0,86.9827846572033,0,4.07384655177988,6.03918102813375,9.24054288189431,16.8736071314868,15.7189089227924,0,0,0,4.72711645896003,47.0873786407767,0,0
"MEFA",565.500217801655,0,31.3657155303855,65.9630606860158,25.5863539445629,182.648401826484,26.7901852779169,31.2841033102947,0,0,32.9263780984092,96.5079365079365,0,40.5665326105963,18.6046511627907,35.3739298982394,41.714756801319,22.7005870841487,0,38.7073215263831,257.782754759239,4.97194403011578,23.4090909090909,0,229.836264402668,45.036078626524,40.533518101507,56.6897918731417,448.660714285714,0,0,19.4339622641509,0,33.2095709570957,32.7868852459016,36.6177251017159,0,24.2922374429224,0,171.588002790049,54.4764130276033,26.3250263250263,41.3533834586466,0,0,26.2489415749365,0,31.086439333862,47.9144192736426,0,83.9961819917277,235.909355026148,18.4740882917466,258.420085731782,0,0,0,0,489.152506145132,41.0907732536421,0,37.5448217675596,38.7018131951851,0,0,307.345971563981,49.2363802142694,0,184.422110552764,76.3824671721842,26.0904202350129,0,15.0980668830253,39.7559535524503,0,0,54.2218543046358,0,0,205.837173579109,91.5312232677502,49.0060101710587,83.7233489339574,25.2951096121417,91.8944392082941,0,294.573643410853,0,0,42.4215642951834,38.9835402829916,22.9226361031519,49.0060101710587,0,0,0,31.3708637730984,212.621359223301,0,0
"MEFB",28.4013358501525,0,5.00980178610325,0,0,35.5149670218163,0,0,0,0,0,0,0,0,3.29457364341085,0,0,0,0,0,0,0,0,0,31.534263189812,0,6.06270569894336,0,0,0,0,0,0,0,0,0,0,3.83561643835616,0,0,0,0,0,0,0,5.08044030482642,0,0,0,0,0,48.2277745496804,5.51823416506718,33.0679730557257,0,0,0,0,30.0666167931317,0,0,12.2337059692048,0,0,0,0,0,0,35.678391959799,0,0,0,0,0,0,0,0,0,0,40.9626216077829,0,9.70873786407767,0,5.90219224283305,0,0,0,0,0,0,24.5451920300318,0,9.70873786407767,0,0,0,6.44606789858187,37.378640776699,0,0
"MERA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.3176361957525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.911620294599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MERD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.38688827331487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.921416348558642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
